id,file,percent,hp,time captured,time parsed,manual
flauros,Screenshot (327).png,99.82,3514.0,1545383290,1545389104.0,
forneus,Screenshot (328).png,99.87,2501.0,1545383293,1545389106.0,
barbatos,Screenshot (329).png,95.71,85804.0,1545383296,1545389107.0,
halphas,Screenshot (330).png,99.92,1605.0,1545383300,1545389110.0,
amon_ra,Screenshot (331).png,99.93,1375.0,1545383303,1545389111.0,
sabnock,Screenshot (332).png,99.91,1899.0,1545383307,1545389112.0,
flauros,Screenshot (333).png,99.82,3514.0,1545383311,1545389113.0,
forneus,Screenshot (334).png,99.87,2501.0,1545383314,1545389115.0,
flauros,Screenshot (335).png,99.82,3696.0,1545383423,1545389121.0,
forneus,Screenshot (336).png,99.87,2624.0,1545383426,1545389128.0,
barbatos,Screenshot (337).png,95.49,90200.0,1545383429,1545389135.0,
halphas,Screenshot (338).png,99.92,1688.0,1545383433,1545389146.0,
amon_ra,Screenshot (339).png,99.93,1442.0,1545383436,1545389148.0,
sabnock,Screenshot (340).png,99.9,2002.0,1545383440,1545389150.0,
flauros,Screenshot (341).png,99.82,3696.0,1545383443,1545389151.0,
forneus,Screenshot (342).png,99.87,2624.0,1545383447,1545389153.0,
flauros,Screenshot (343).png,99.81,3857.0,1545383556,1545389154.0,
forneus,Screenshot (344).png,99.86,2756.0,1545383558,1545389155.0,
barbatos,Screenshot (345).png,95.27,94610.0,1545383562,1545389156.0,
halphas,Screenshot (346).png,99.91,1768.0,1545383565,1545389158.0,
amon_ra,Screenshot (347).png,99.92,1508.0,1545383569,1545389159.0,
sabnock,Screenshot (348).png,99.89,2104.0,1545383572,1545389160.0,
flauros,Screenshot (349).png,99.81,3857.0,1545383576,1545389161.0,
forneus,Screenshot (350).png,99.86,2756.0,1545383579,1545389164.0,
flauros,Screenshot (351).png,99.8,4017.0,1545383689,1545389165.0,
forneus,Screenshot (352).png,99.86,2886.0,1545383691,1545389166.0,
barbatos,Screenshot (353).png,95.05,99014.0,1545383694,1545389168.0,
halphas,Screenshot (354).png,99.91,1844.0,1545383698,1545389169.0,
amon_ra,Screenshot (355).png,99.92,1589.0,1545383701,1545389170.0,
sabnock,Screenshot (356).png,99.89,2215.0,1545383705,1545389171.0,
flauros,Screenshot (357).png,99.8,4017.0,1545383708,1545389172.0,
forneus,Screenshot (358).png,99.86,2886.0,1545383712,1545389174.0,
flauros,Screenshot (359).png,99.79,4198.0,1545383821,1545389175.0,
forneus,Screenshot (360).png,99.85,3011.0,1545383824,1545389177.0,
barbatos,Screenshot (361).png,94.83,103468.0,1545383827,1545389179.0,
halphas,Screenshot (362).png,99.9,1915.0,1545383831,1545389180.0,
sabnock,Screenshot (364).png,99.88,2341.0,1545383838,1545389182.0,
flauros,Screenshot (365).png,99.79,4198.0,1545383841,1545389184.0,
forneus,Screenshot (366).png,99.85,3011.0,1545383845,1545389185.0,
flauros,Screenshot (367).png,99.78,4375.0,1545383954,1545389186.0,
forneus,Screenshot (368).png,99.84,3155.0,1545383957,1545389188.0,
barbatos,Screenshot (369).png,94.6,107993.0,1545383960,1545389189.0,
amon_ra,Screenshot (371).png,99.91,1752.0,1545383967,1545389192.0,
sabnock,Screenshot (372).png,99.88,2460.0,1545383970,1545389194.0,
flauros,Screenshot (373).png,99.78,4375.0,1545383973,1545389195.0,
forneus,Screenshot (374).png,99.84,3155.0,1545383979,1545389196.0,
flauros,Screenshot (375).png,99.77,4525.0,1545384086,1545389197.0,
forneus,Screenshot (376).png,99.84,3282.0,1545384089,1545389199.0,
barbatos,Screenshot (377).png,94.39,112101.0,1545384092,1545389200.0,
halphas,Screenshot (378).png,99.9,2074.0,1545384096,1545389201.0,
amon_ra,Screenshot (379).png,99.91,1810.0,1545384099,1545389202.0,
sabnock,Screenshot (380).png,99.87,2554.0,1545384103,1545389205.0,
flauros,Screenshot (381).png,99.77,4525.0,1545384106,1545389206.0,
forneus,Screenshot (382).png,99.84,3282.0,1545384110,1545389207.0,
flauros,Screenshot (383).png,99.77,4683.0,1545384219,1545389208.0,
forneus,Screenshot (384).png,99.83,3437.0,1545384221,1545389210.0,
barbatos,Screenshot (385).png,94.16,116747.0,1545384225,1545389211.0,
